C0	MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C1	PC3_PROSTATE
C2	SW900_LUNG
C3	NCIH2030_LUNG
C4	PK59_PANCREAS
C5	COLO741_SKIN
C6	NCIH1355_LUNG
C7	NCIH3255_LUNG
C8	RKN_OVARY
C9	OE33_OESOPHAGUS
C10	KYSE140_OESOPHAGUS
C11	MIAPACA2_PANCREAS
C12	EFO27_OVARY
C13	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C14	HCC4006_LUNG
C15	MHHES1_BONE
C16	HOS_BONE
C17	SKNFI_AUTONOMIC_GANGLIA
C18	WM2664_SKIN
C19	NCIH2023_LUNG
C20	SCC25_UPPER_AERODIGESTIVE_TRACT
C21	EBC1_LUNG
C22	HCT116_LARGE_INTESTINE
C23	HS936T_SKIN
C24	1321N1_CENTRAL_NERVOUS_SYSTEM
C25	OE21_OESOPHAGUS
C26	5637_URINARY_TRACT
C27	MFE280_ENDOMETRIUM
C28	HUPT4_PANCREAS
C29	HEC6_ENDOMETRIUM
C30	NCIH522_LUNG
C31	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C32	CHL1_SKIN
C33	CAL27_UPPER_AERODIGESTIVE_TRACT
C34	KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C35	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM
C36	KP1N_PANCREAS
C37	HT1080_SOFT_TISSUE
C38	WM1799_SKIN
C39	YKG1_CENTRAL_NERVOUS_SYSTEM
C40	HT1376_URINARY_TRACT
C41	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C42	OVTOKO_OVARY
C43	LS411N_LARGE_INTESTINE
C44	P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C45	LCLC103H_LUNG
C46	FU97_STOMACH
C47	TOV112D_OVARY
C48	PSN1_PANCREAS
C49	SW1353_BONE
C50	SW1990_PANCREAS
C51	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C52	EFO21_OVARY
C53	EN_ENDOMETRIUM
C54	COLO201_LARGE_INTESTINE
C55	HS229T_LUNG
C56	NCIH1048_LUNG
C57	SAOS2_BONE
C58	JHOS4_OVARY
C59	DETROIT562_UPPER_AERODIGESTIVE_TRACT
C60	KYSE30_OESOPHAGUS
C61	NCIH2087_LUNG
C62	WM88_SKIN
C63	ACHN_KIDNEY
C64	HCC44_LUNG
C65	GI1_CENTRAL_NERVOUS_SYSTEM
C66	MDAMB436_BREAST
C67	A673_BONE
C68	HS739T_BREAST
C69	OCUM1_STOMACH
C70	SNU16_STOMACH
C71	KE39_STOMACH
C72	PANC1005_PANCREAS
C73	SQ1_LUNG
C74	SNUC2A_LARGE_INTESTINE
C75	KMBC2_URINARY_TRACT
C76	A172_CENTRAL_NERVOUS_SYSTEM
C77	GAMG_CENTRAL_NERVOUS_SYSTEM
C78	EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C79	HS852T_SKIN
C80	CALU3_LUNG
C81	HMCB_SKIN
C82	HEC1A_ENDOMETRIUM
C83	HS294T_SKIN
C84	SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C85	SF126_CENTRAL_NERVOUS_SYSTEM
C86	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C87	GB1_CENTRAL_NERVOUS_SYSTEM
C88	A2058_SKIN
C89	SNU182_LIVER
C90	PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C91	PANC0403_PANCREAS
C92	KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C93	LOUNH91_LUNG
C94	NCIH1155_LUNG
C95	HT29_LARGE_INTESTINE
C96	HCC1806_BREAST
C97	SKBR3_BREAST
C98	CALU1_LUNG
C99	NCIH2228_LUNG
C100	CCK81_LARGE_INTESTINE
C101	KELLY_AUTONOMIC_GANGLIA
C102	FADU_UPPER_AERODIGESTIVE_TRACT
C103	HLE_LIVER
C104	SKNSH_AUTONOMIC_GANGLIA
C105	TE617T_SOFT_TISSUE
C106	SKMEL30_SKIN
C107	MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C108	HPAFII_PANCREAS
C109	KNS42_CENTRAL_NERVOUS_SYSTEM
C110	HLF_LIVER
C111	RERFGC1B_STOMACH
C112	8MGBA_CENTRAL_NERVOUS_SYSTEM
C113	HEYA8_OVARY
C114	KMRC1_KIDNEY
C115	NCIH1184_LUNG
C116	NCIH460_LUNG
C117	DMS114_LUNG
C118	JMSU1_URINARY_TRACT
C119	KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C120	IMR32_AUTONOMIC_GANGLIA
C121	JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C122	DU145_PROSTATE
C123	SKMEL2_SKIN
C124	KYSE70_OESOPHAGUS
C125	NCIH1915_LUNG
C126	NCIH1563_LUNG
C127	BT20_BREAST
C128	OC315_OVARY
C129	KYM1_SOFT_TISSUE
C130	BXPC3_PANCREAS
C131	NCIH1793_LUNG
C132	ISTMES2_PLEURA
C133	SNGM_ENDOMETRIUM
C134	AN3CA_ENDOMETRIUM
C135	COV318_OVARY
C136	MORCPR_LUNG
C137	PL45_PANCREAS
C138	SHP77_LUNG
C139	HEC265_ENDOMETRIUM
C140	AU565_BREAST
C141	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C142	SNU387_LIVER
C143	NCIH2286_LUNG
C144	NCIH1650_LUNG
C145	SKHEP1_LIVER
C146	G401_SOFT_TISSUE
C147	HS578T_BREAST
C148	SU8686_PANCREAS
C149	OVCAR4_OVARY
C150	HCC1187_BREAST
C151	KYSE520_OESOPHAGUS
C152	NCIH1341_LUNG
C153	TCCSUP_URINARY_TRACT
C154	UACC62_SKIN
C155	DV90_LUNG
C156	SH10TC_STOMACH
C157	OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C158	GLC82_LUNG
C159	NCIH1339_LUNG
C160	NCIH23_LUNG
C161	GMS10_CENTRAL_NERVOUS_SYSTEM
C162	769P_KIDNEY
C163	C3A_LIVER
