cell-drug-pair	cell	drug	G0_targeted	G0_activity	G1_targeted	G1_activity	G2_targeted	G2_activity	G3_targeted	G3_activity	G4_targeted	G4_activity	G5_targeted	G5_activity	G6_targeted	G6_activity	G7_targeted	G7_activity	G8_targeted	G8_activity	G9_targeted	G9_activity	sensitivity
C0D0	C0	D0	1	0.319779467902	0	0.163527409517	0	0.556949172434	0	0.235322136825	0	0.416057294505	0	0.593931043934	0	0.847728374476	0	0.833097309829	0	0.69591278073	0	0.158990988767	0.319779467902
C0D1	C0	D1	0	0.319779467902	1	0.163527409517	0	0.556949172434	0	0.235322136825	0	0.416057294505	0	0.593931043934	0	0.847728374476	0	0.833097309829	0	0.69591278073	0	0.158990988767	0.163527409517
C0D2	C0	D2	0	0.319779467902	0	0.163527409517	1	0.556949172434	0	0.235322136825	0	0.416057294505	0	0.593931043934	0	0.847728374476	0	0.833097309829	0	0.69591278073	0	0.158990988767	0.556949172434
C0D3	C0	D3	1	0.319779467902	1	0.163527409517	1	0.556949172434	1	0.235322136825	1	0.416057294505	1	0.593931043934	1	0.847728374476	1	0.833097309829	1	0.69591278073	1	0.158990988767	0.482129597892
C0D4	C0	D4	0	0.319779467902	0	0.163527409517	0	0.556949172434	1	0.235322136825	1	0.416057294505	0	0.593931043934	1	0.847728374476	0	0.833097309829	0	0.69591278073	1	0.158990988767	0.414524698643
C0D5	C0	D5	0	0.319779467902	0	0.163527409517	0	0.556949172434	0	0.235322136825	0	0.416057294505	1	0.593931043934	0	0.847728374476	0	0.833097309829	0	0.69591278073	0	0.158990988767	0.593931043934
C0D6	C0	D6	0	0.319779467902	0	0.163527409517	0	0.556949172434	0	0.235322136825	0	0.416057294505	0	0.593931043934	1	0.847728374476	0	0.833097309829	0	0.69591278073	0	0.158990988767	0.847728374476
C0D7	C0	D7	1	0.319779467902	0	0.163527409517	1	0.556949172434	1	0.235322136825	0	0.416057294505	0	0.593931043934	1	0.847728374476	1	0.833097309829	0	0.69591278073	0	0.158990988767	0.558575292293
C0D8	C0	D8	0	0.319779467902	0	0.163527409517	0	0.556949172434	0	0.235322136825	0	0.416057294505	0	0.593931043934	0	0.847728374476	0	0.833097309829	1	0.69591278073	1	0.158990988767	0.427451884748
C0D9	C0	D9	0	0.319779467902	0	0.163527409517	0	0.556949172434	0	0.235322136825	1	0.416057294505	0	0.593931043934	0	0.847728374476	0	0.833097309829	0	0.69591278073	1	0.158990988767	0.287524141636
C1D0	C1	D0	1	0.0170905079076	0	0.367071535506	0	0.767731542356	0	0.305766799231	0	0.105509578005	0	0.300498181653	0	0.552848328506	0	0.0920880510669	0	0.996162036452	0	0.543189875343	0.0170905079076
C1D1	C1	D1	0	0.0170905079076	1	0.367071535506	0	0.767731542356	0	0.305766799231	0	0.105509578005	0	0.300498181653	0	0.552848328506	0	0.0920880510669	0	0.996162036452	0	0.543189875343	0.367071535506
C1D2	C1	D2	0	0.0170905079076	0	0.367071535506	1	0.767731542356	0	0.305766799231	0	0.105509578005	0	0.300498181653	0	0.552848328506	0	0.0920880510669	0	0.996162036452	0	0.543189875343	0.767731542356
C1D3	C1	D3	1	0.0170905079076	1	0.367071535506	1	0.767731542356	1	0.305766799231	1	0.105509578005	1	0.300498181653	1	0.552848328506	1	0.0920880510669	1	0.996162036452	1	0.543189875343	0.404795643603
C1D4	C1	D4	0	0.0170905079076	0	0.367071535506	0	0.767731542356	1	0.305766799231	1	0.105509578005	0	0.300498181653	1	0.552848328506	0	0.0920880510669	0	0.996162036452	1	0.543189875343	0.376828645271
C1D5	C1	D5	0	0.0170905079076	0	0.367071535506	0	0.767731542356	0	0.305766799231	0	0.105509578005	1	0.300498181653	0	0.552848328506	0	0.0920880510669	0	0.996162036452	0	0.543189875343	0.300498181653
C1D6	C1	D6	0	0.0170905079076	0	0.367071535506	0	0.767731542356	0	0.305766799231	0	0.105509578005	0	0.300498181653	1	0.552848328506	0	0.0920880510669	0	0.996162036452	0	0.543189875343	0.552848328506
C1D7	C1	D7	1	0.0170905079076	0	0.367071535506	1	0.767731542356	1	0.305766799231	0	0.105509578005	0	0.300498181653	1	0.552848328506	1	0.0920880510669	0	0.996162036452	0	0.543189875343	0.347105045813
C1D8	C1	D8	0	0.0170905079076	0	0.367071535506	0	0.767731542356	0	0.305766799231	0	0.105509578005	0	0.300498181653	0	0.552848328506	0	0.0920880510669	1	0.996162036452	1	0.543189875343	0.769675955897
C1D9	C1	D9	0	0.0170905079076	0	0.367071535506	0	0.767731542356	0	0.305766799231	1	0.105509578005	0	0.300498181653	0	0.552848328506	0	0.0920880510669	0	0.996162036452	1	0.543189875343	0.324349726674
C2D0	C2	D0	1	0.131629212608	0	0.541845048897	0	0.586533409732	0	0.912157540934	0	0.897096590948	0	0.641190210125	0	0.791281261797	0	0.435461539812	0	0.524673879741	0	0.301942831827	0.131629212608
C2D1	C2	D1	0	0.131629212608	1	0.541845048897	0	0.586533409732	0	0.912157540934	0	0.897096590948	0	0.641190210125	0	0.791281261797	0	0.435461539812	0	0.524673879741	0	0.301942831827	0.541845048897
C2D2	C2	D2	0	0.131629212608	0	0.541845048897	1	0.586533409732	0	0.912157540934	0	0.897096590948	0	0.641190210125	0	0.791281261797	0	0.435461539812	0	0.524673879741	0	0.301942831827	0.586533409732
C2D3	C2	D3	1	0.131629212608	1	0.541845048897	1	0.586533409732	1	0.912157540934	1	0.897096590948	1	0.641190210125	1	0.791281261797	1	0.435461539812	1	0.524673879741	1	0.301942831827	0.576381152642
C2D4	C2	D4	0	0.131629212608	0	0.541845048897	0	0.586533409732	1	0.912157540934	1	0.897096590948	0	0.641190210125	1	0.791281261797	0	0.435461539812	0	0.524673879741	1	0.301942831827	0.725619556376
C2D5	C2	D5	0	0.131629212608	0	0.541845048897	0	0.586533409732	0	0.912157540934	0	0.897096590948	1	0.641190210125	0	0.791281261797	0	0.435461539812	0	0.524673879741	0	0.301942831827	0.641190210125
C2D6	C2	D6	0	0.131629212608	0	0.541845048897	0	0.586533409732	0	0.912157540934	0	0.897096590948	0	0.641190210125	1	0.791281261797	0	0.435461539812	0	0.524673879741	0	0.301942831827	0.791281261797
C2D7	C2	D7	1	0.131629212608	0	0.541845048897	1	0.586533409732	1	0.912157540934	0	0.897096590948	0	0.641190210125	1	0.791281261797	1	0.435461539812	0	0.524673879741	0	0.301942831827	0.571412592976
C2D8	C2	D8	0	0.131629212608	0	0.541845048897	0	0.586533409732	0	0.912157540934	0	0.897096590948	0	0.641190210125	0	0.791281261797	0	0.435461539812	1	0.524673879741	1	0.301942831827	0.413308355784
C2D9	C2	D9	0	0.131629212608	0	0.541845048897	0	0.586533409732	0	0.912157540934	1	0.897096590948	0	0.641190210125	0	0.791281261797	0	0.435461539812	0	0.524673879741	1	0.301942831827	0.599519711387
C3D0	C3	D0	1	0.111846809938	0	0.372922895553	0	0.169899805514	0	0.287832012816	0	0.828371352436	0	0.833576911012	0	0.699427143812	0	0.0514971528694	0	0.130590662262	0	0.675167289094	0.111846809938
C3D1	C3	D1	0	0.111846809938	1	0.372922895553	0	0.169899805514	0	0.287832012816	0	0.828371352436	0	0.833576911012	0	0.699427143812	0	0.0514971528694	0	0.130590662262	0	0.675167289094	0.372922895553
C3D2	C3	D2	0	0.111846809938	0	0.372922895553	1	0.169899805514	0	0.287832012816	0	0.828371352436	0	0.833576911012	0	0.699427143812	0	0.0514971528694	0	0.130590662262	0	0.675167289094	0.169899805514
C3D3	C3	D3	1	0.111846809938	1	0.372922895553	1	0.169899805514	1	0.287832012816	1	0.828371352436	1	0.833576911012	1	0.699427143812	1	0.0514971528694	1	0.130590662262	1	0.675167289094	0.416113203531
C3D4	C3	D4	0	0.111846809938	0	0.372922895553	0	0.169899805514	1	0.287832012816	1	0.828371352436	0	0.833576911012	1	0.699427143812	0	0.0514971528694	0	0.130590662262	1	0.675167289094	0.62269944954
C3D5	C3	D5	0	0.111846809938	0	0.372922895553	0	0.169899805514	0	0.287832012816	0	0.828371352436	1	0.833576911012	0	0.699427143812	0	0.0514971528694	0	0.130590662262	0	0.675167289094	0.833576911012
C3D6	C3	D6	0	0.111846809938	0	0.372922895553	0	0.169899805514	0	0.287832012816	0	0.828371352436	0	0.833576911012	1	0.699427143812	0	0.0514971528694	0	0.130590662262	0	0.675167289094	0.699427143812
C3D7	C3	D7	1	0.111846809938	0	0.372922895553	1	0.169899805514	1	0.287832012816	0	0.828371352436	0	0.833576911012	1	0.699427143812	1	0.0514971528694	0	0.130590662262	0	0.675167289094	0.26410058499
C3D8	C3	D8	0	0.111846809938	0	0.372922895553	0	0.169899805514	0	0.287832012816	0	0.828371352436	0	0.833576911012	0	0.699427143812	0	0.0514971528694	1	0.130590662262	1	0.675167289094	0.402878975678
