cell-drug-pair	cell	drug	G0_targeted	G0_activity	G1_targeted	G1_activity	G2_targeted	G2_activity	G3_targeted	G3_activity	G4_targeted	G4_activity	G5_targeted	G5_activity	G6_targeted	G6_activity	G7_targeted	G7_activity	G8_targeted	G8_activity	G9_targeted	G9_activity	sensitivity
C0D0	C0	D0	1	0.64510578282	0	0.209931313638	0	0.245443176141	0	0.835013007048	0	0.0598576582582	0	0.996038588695	0	0.551553254371	0	0.107924028083	0	0.128708883388	0	0.697056741477	0.64510578282
C0D1	C0	D1	0	0.64510578282	1	0.209931313638	0	0.245443176141	0	0.835013007048	0	0.0598576582582	0	0.996038588695	0	0.551553254371	0	0.107924028083	0	0.128708883388	0	0.697056741477	0.209931313638
C0D2	C0	D2	0	0.64510578282	0	0.209931313638	1	0.245443176141	0	0.835013007048	0	0.0598576582582	0	0.996038588695	0	0.551553254371	0	0.107924028083	0	0.128708883388	0	0.697056741477	0.245443176141
C0D3	C0	D3	0	0.64510578282	0	0.209931313638	0	0.245443176141	1	0.835013007048	0	0.0598576582582	0	0.996038588695	0	0.551553254371	0	0.107924028083	0	0.128708883388	0	0.697056741477	0.835013007048
C0D4	C0	D4	0	0.64510578282	0	0.209931313638	0	0.245443176141	0	0.835013007048	1	0.0598576582582	0	0.996038588695	0	0.551553254371	0	0.107924028083	0	0.128708883388	0	0.697056741477	0.0598576582582
C0D5	C0	D5	0	0.64510578282	0	0.209931313638	0	0.245443176141	0	0.835013007048	0	0.0598576582582	1	0.996038588695	0	0.551553254371	0	0.107924028083	0	0.128708883388	0	0.697056741477	0.996038588695
C0D6	C0	D6	0	0.64510578282	0	0.209931313638	0	0.245443176141	0	0.835013007048	0	0.0598576582582	0	0.996038588695	1	0.551553254371	0	0.107924028083	0	0.128708883388	0	0.697056741477	0.551553254371
C0D7	C0	D7	0	0.64510578282	0	0.209931313638	0	0.245443176141	0	0.835013007048	0	0.0598576582582	0	0.996038588695	0	0.551553254371	1	0.107924028083	0	0.128708883388	0	0.697056741477	0.107924028083
C0D8	C0	D8	0	0.64510578282	0	0.209931313638	0	0.245443176141	0	0.835013007048	0	0.0598576582582	0	0.996038588695	0	0.551553254371	0	0.107924028083	1	0.128708883388	0	0.697056741477	0.128708883388
C0D9	C0	D9	0	0.64510578282	0	0.209931313638	0	0.245443176141	0	0.835013007048	0	0.0598576582582	0	0.996038588695	0	0.551553254371	0	0.107924028083	0	0.128708883388	1	0.697056741477	0.697056741477
