cell-drug-pair	cell	drug	G0_targeted	G0_activity	G1_targeted	G1_activity	G2_targeted	G2_activity	G3_targeted	G3_activity	G4_targeted	G4_activity	G5_targeted	G5_activity	G6_targeted	G6_activity	G7_targeted	G7_activity	G8_targeted	G8_activity	G9_targeted	G9_activity	sensitivity
C0D0	C0	D0	1	0.421878664912	0	0.962820354159	0	0.442867548018	0	0.313099153961	0	0.0528552998028	0	0.93172395495	0	0.335900941574	0	0.777765711483	0	0.684924422061	0	0.358908677044	0.421878664912
C0D1	C0	D1	0	0.421878664912	1	0.962820354159	0	0.442867548018	0	0.313099153961	0	0.0528552998028	0	0.93172395495	0	0.335900941574	0	0.777765711483	0	0.684924422061	0	0.358908677044	0.962820354159
C0D2	C0	D2	0	0.421878664912	0	0.962820354159	1	0.442867548018	0	0.313099153961	0	0.0528552998028	0	0.93172395495	0	0.335900941574	0	0.777765711483	0	0.684924422061	0	0.358908677044	0.442867548018
C0D3	C0	D3	0	0.421878664912	0	0.962820354159	0	0.442867548018	1	0.313099153961	0	0.0528552998028	0	0.93172395495	0	0.335900941574	0	0.777765711483	0	0.684924422061	0	0.358908677044	0.313099153961
C0D4	C0	D4	0	0.421878664912	0	0.962820354159	0	0.442867548018	0	0.313099153961	1	0.0528552998028	0	0.93172395495	0	0.335900941574	0	0.777765711483	0	0.684924422061	0	0.358908677044	0.0528552998028
C0D5	C0	D5	0	0.421878664912	0	0.962820354159	0	0.442867548018	0	0.313099153961	0	0.0528552998028	1	0.93172395495	0	0.335900941574	0	0.777765711483	0	0.684924422061	0	0.358908677044	0.93172395495
C0D6	C0	D6	0	0.421878664912	0	0.962820354159	0	0.442867548018	0	0.313099153961	0	0.0528552998028	0	0.93172395495	1	0.335900941574	0	0.777765711483	0	0.684924422061	0	0.358908677044	0.335900941574
C0D7	C0	D7	0	0.421878664912	0	0.962820354159	0	0.442867548018	0	0.313099153961	0	0.0528552998028	0	0.93172395495	0	0.335900941574	1	0.777765711483	0	0.684924422061	0	0.358908677044	0.777765711483
C0D8	C0	D8	0	0.421878664912	0	0.962820354159	0	0.442867548018	0	0.313099153961	0	0.0528552998028	0	0.93172395495	0	0.335900941574	0	0.777765711483	1	0.684924422061	0	0.358908677044	0.684924422061
C0D9	C0	D9	0	0.421878664912	0	0.962820354159	0	0.442867548018	0	0.313099153961	0	0.0528552998028	0	0.93172395495	0	0.335900941574	0	0.777765711483	0	0.684924422061	1	0.358908677044	0.358908677044
C1D0	C1	D0	1	0.0657485665605	0	0.271226546983	0	0.6703545681	0	0.432064104582	0	0.587122009412	0	0.951390566831	0	0.419500437168	0	0.933981639785	0	0.253662673521	0	0.483815618886	0.0657485665605
C1D1	C1	D1	0	0.0657485665605	1	0.271226546983	0	0.6703545681	0	0.432064104582	0	0.587122009412	0	0.951390566831	0	0.419500437168	0	0.933981639785	0	0.253662673521	0	0.483815618886	0.271226546983
C1D2	C1	D2	0	0.0657485665605	0	0.271226546983	1	0.6703545681	0	0.432064104582	0	0.587122009412	0	0.951390566831	0	0.419500437168	0	0.933981639785	0	0.253662673521	0	0.483815618886	0.6703545681
C1D3	C1	D3	0	0.0657485665605	0	0.271226546983	0	0.6703545681	1	0.432064104582	0	0.587122009412	0	0.951390566831	0	0.419500437168	0	0.933981639785	0	0.253662673521	0	0.483815618886	0.432064104582
C1D4	C1	D4	0	0.0657485665605	0	0.271226546983	0	0.6703545681	0	0.432064104582	1	0.587122009412	0	0.951390566831	0	0.419500437168	0	0.933981639785	0	0.253662673521	0	0.483815618886	0.587122009412
C1D5	C1	D5	0	0.0657485665605	0	0.271226546983	0	0.6703545681	0	0.432064104582	0	0.587122009412	1	0.951390566831	0	0.419500437168	0	0.933981639785	0	0.253662673521	0	0.483815618886	0.951390566831
C1D6	C1	D6	0	0.0657485665605	0	0.271226546983	0	0.6703545681	0	0.432064104582	0	0.587122009412	0	0.951390566831	1	0.419500437168	0	0.933981639785	0	0.253662673521	0	0.483815618886	0.419500437168
C1D7	C1	D7	0	0.0657485665605	0	0.271226546983	0	0.6703545681	0	0.432064104582	0	0.587122009412	0	0.951390566831	0	0.419500437168	1	0.933981639785	0	0.253662673521	0	0.483815618886	0.933981639785
