cell-drug-pair	cell	drug	G0_targeted	G0_activity	G1_targeted	G1_activity	G2_targeted	G2_activity	G3_targeted	G3_activity	G4_targeted	G4_activity	G5_targeted	G5_activity	G6_targeted	G6_activity	G7_targeted	G7_activity	G8_targeted	G8_activity	G9_targeted	G9_activity	sensitivity
C0D0	C0	D0	1	0.869364190582	0	0.728932349117	0	0.0216381457447	0	0.37206353386	0	0.242880128237	0	0.528700017077	0	0.784374405417	0	0.782710780857	0	0.98912796406	0	0.425081459071	0.0516034194922
C0D1	C0	D1	0	0.869364190582	1	0.728932349117	0	0.0216381457447	0	0.37206353386	0	0.242880128237	0	0.528700017077	0	0.784374405417	0	0.782710780857	0	0.98912796406	0	0.425081459071	0.23175067944
C0D2	C0	D2	0	0.869364190582	0	0.728932349117	1	0.0216381457447	0	0.37206353386	0	0.242880128237	0	0.528700017077	0	0.784374405417	0	0.782710780857	0	0.98912796406	0	0.425081459071	0.723940702793
C0D3	C0	D3	0	0.869364190582	0	0.728932349117	0	0.0216381457447	1	0.37206353386	0	0.242880128237	0	0.528700017077	0	0.784374405417	0	0.782710780857	0	0.98912796406	0	0.425081459071	0.246458315723
C0D4	C0	D4	0	0.869364190582	0	0.728932349117	0	0.0216381457447	0	0.37206353386	1	0.242880128237	0	0.528700017077	0	0.784374405417	0	0.782710780857	0	0.98912796406	0	0.425081459071	0.664494566874
C0D5	C0	D5	0	0.869364190582	0	0.728932349117	0	0.0216381457447	0	0.37206353386	0	0.242880128237	1	0.528700017077	0	0.784374405417	0	0.782710780857	0	0.98912796406	0	0.425081459071	0.61906183703
C0D6	C0	D6	0	0.869364190582	0	0.728932349117	0	0.0216381457447	0	0.37206353386	0	0.242880128237	0	0.528700017077	1	0.784374405417	0	0.782710780857	0	0.98912796406	0	0.425081459071	0.847544675946
C0D7	C0	D7	0	0.869364190582	0	0.728932349117	0	0.0216381457447	0	0.37206353386	0	0.242880128237	0	0.528700017077	0	0.784374405417	1	0.782710780857	0	0.98912796406	0	0.425081459071	0.214202883479
C0D8	C0	D8	0	0.869364190582	0	0.728932349117	0	0.0216381457447	0	0.37206353386	0	0.242880128237	0	0.528700017077	0	0.784374405417	0	0.782710780857	1	0.98912796406	0	0.425081459071	0.772198278597
C0D9	C0	D9	0	0.869364190582	0	0.728932349117	0	0.0216381457447	0	0.37206353386	0	0.242880128237	0	0.528700017077	0	0.784374405417	0	0.782710780857	0	0.98912796406	1	0.425081459071	0.596862403415
C1D0	C1	D0	1	0.179510977651	0	0.254628967459	0	0.928633501948	0	0.789102216272	0	0.919278319372	0	0.161385641775	0	0.725526142456	0	0.974480689693	0	0.0606720373278	0	0.198854800939	0.41111611673
C1D1	C1	D1	0	0.179510977651	1	0.254628967459	0	0.928633501948	0	0.789102216272	0	0.919278319372	0	0.161385641775	0	0.725526142456	0	0.974480689693	0	0.0606720373278	0	0.198854800939	0.874605295489
C1D2	C1	D2	0	0.179510977651	0	0.254628967459	1	0.928633501948	0	0.789102216272	0	0.919278319372	0	0.161385641775	0	0.725526142456	0	0.974480689693	0	0.0606720373278	0	0.198854800939	0.909739438231
C1D3	C1	D3	0	0.179510977651	0	0.254628967459	0	0.928633501948	1	0.789102216272	0	0.919278319372	0	0.161385641775	0	0.725526142456	0	0.974480689693	0	0.0606720373278	0	0.198854800939	0.424393141153
C1D4	C1	D4	0	0.179510977651	0	0.254628967459	0	0.928633501948	0	0.789102216272	1	0.919278319372	0	0.161385641775	0	0.725526142456	0	0.974480689693	0	0.0606720373278	0	0.198854800939	0.26297850435
C1D5	C1	D5	0	0.179510977651	0	0.254628967459	0	0.928633501948	0	0.789102216272	0	0.919278319372	1	0.161385641775	0	0.725526142456	0	0.974480689693	0	0.0606720373278	0	0.198854800939	0.657388829728
C1D6	C1	D6	0	0.179510977651	0	0.254628967459	0	0.928633501948	0	0.789102216272	0	0.919278319372	0	0.161385641775	1	0.725526142456	0	0.974480689693	0	0.0606720373278	0	0.198854800939	0.289606179339
C1D7	C1	D7	0	0.179510977651	0	0.254628967459	0	0.928633501948	0	0.789102216272	0	0.919278319372	0	0.161385641775	0	0.725526142456	1	0.974480689693	0	0.0606720373278	0	0.198854800939	0.443195726294
C1D8	C1	D8	0	0.179510977651	0	0.254628967459	0	0.928633501948	0	0.789102216272	0	0.919278319372	0	0.161385641775	0	0.725526142456	0	0.974480689693	1	0.0606720373278	0	0.198854800939	0.654292735094
