cell-drug-pair	cell	drug	G0_targeted	G0_activity	G1_targeted	G1_activity	G2_targeted	G2_activity	G3_targeted	G3_activity	G4_targeted	G4_activity	G5_targeted	G5_activity	G6_targeted	G6_activity	G7_targeted	G7_activity	G8_targeted	G8_activity	G9_targeted	G9_activity	sensitivity
C0D0	C0	D0	1	0.319779467902	0	0.163527409517	0	0.556949172434	0	0.235322136825	0	0.416057294505	0	0.593931043934	0	0.847728374476	0	0.833097309829	0	0.69591278073	0	0.158990988767	0.647794849302
C0D1	C0	D1	0	0.319779467902	1	0.163527409517	0	0.556949172434	0	0.235322136825	0	0.416057294505	0	0.593931043934	0	0.847728374476	0	0.833097309829	0	0.69591278073	0	0.158990988767	0.303661036242
C0D2	C0	D2	0	0.319779467902	0	0.163527409517	1	0.556949172434	0	0.235322136825	0	0.416057294505	0	0.593931043934	0	0.847728374476	0	0.833097309829	0	0.69591278073	0	0.158990988767	0.821049878328
C0D3	C0	D3	1	0.319779467902	1	0.163527409517	1	0.556949172434	1	0.235322136825	1	0.416057294505	1	0.593931043934	1	0.847728374476	1	0.833097309829	1	0.69591278073	1	0.158990988767	0.497094809283
C0D4	C0	D4	0	0.319779467902	0	0.163527409517	0	0.556949172434	1	0.235322136825	1	0.416057294505	0	0.593931043934	1	0.847728374476	0	0.833097309829	0	0.69591278073	1	0.158990988767	0.751212604668
C0D5	C0	D5	0	0.319779467902	0	0.163527409517	0	0.556949172434	0	0.235322136825	0	0.416057294505	1	0.593931043934	0	0.847728374476	0	0.833097309829	0	0.69591278073	0	0.158990988767	0.447592925332
C0D6	C0	D6	0	0.319779467902	0	0.163527409517	0	0.556949172434	0	0.235322136825	0	0.416057294505	0	0.593931043934	1	0.847728374476	0	0.833097309829	0	0.69591278073	0	0.158990988767	0.729731489702
C0D7	C0	D7	1	0.319779467902	0	0.163527409517	1	0.556949172434	1	0.235322136825	0	0.416057294505	0	0.593931043934	1	0.847728374476	1	0.833097309829	0	0.69591278073	0	0.158990988767	0.936998740868
C0D8	C0	D8	0	0.319779467902	0	0.163527409517	0	0.556949172434	0	0.235322136825	0	0.416057294505	0	0.593931043934	0	0.847728374476	0	0.833097309829	1	0.69591278073	1	0.158990988767	0.722526595454
C0D9	C0	D9	0	0.319779467902	0	0.163527409517	0	0.556949172434	0	0.235322136825	1	0.416057294505	0	0.593931043934	0	0.847728374476	0	0.833097309829	0	0.69591278073	1	0.158990988767	0.546903520504
C1D0	C1	D0	1	0.0170905079076	0	0.367071535506	0	0.767731542356	0	0.305766799231	0	0.105509578005	0	0.300498181653	0	0.552848328506	0	0.0920880510669	0	0.996162036452	0	0.543189875343	0.924783809429
C1D1	C1	D1	0	0.0170905079076	1	0.367071535506	0	0.767731542356	0	0.305766799231	0	0.105509578005	0	0.300498181653	0	0.552848328506	0	0.0920880510669	0	0.996162036452	0	0.543189875343	0.652855269346
C1D2	C1	D2	0	0.0170905079076	0	0.367071535506	1	0.767731542356	0	0.305766799231	0	0.105509578005	0	0.300498181653	0	0.552848328506	0	0.0920880510669	0	0.996162036452	0	0.543189875343	0.0869572423002
C1D3	C1	D3	1	0.0170905079076	1	0.367071535506	1	0.767731542356	1	0.305766799231	1	0.105509578005	1	0.300498181653	1	0.552848328506	1	0.0920880510669	1	0.996162036452	1	0.543189875343	0.302117419081
C1D4	C1	D4	0	0.0170905079076	0	0.367071535506	0	0.767731542356	1	0.305766799231	1	0.105509578005	0	0.300498181653	1	0.552848328506	0	0.0920880510669	0	0.996162036452	1	0.543189875343	0.518029775748
C1D5	C1	D5	0	0.0170905079076	0	0.367071535506	0	0.767731542356	0	0.305766799231	0	0.105509578005	1	0.300498181653	0	0.552848328506	0	0.0920880510669	0	0.996162036452	0	0.543189875343	0.456381746429
C1D6	C1	D6	0	0.0170905079076	0	0.367071535506	0	0.767731542356	0	0.305766799231	0	0.105509578005	0	0.300498181653	1	0.552848328506	0	0.0920880510669	0	0.996162036452	0	0.543189875343	0.227070052433
C1D7	C1	D7	1	0.0170905079076	0	0.367071535506	1	0.767731542356	1	0.305766799231	0	0.105509578005	0	0.300498181653	1	0.552848328506	1	0.0920880510669	0	0.996162036452	0	0.543189875343	0.68674547928
C1D8	C1	D8	0	0.0170905079076	0	0.367071535506	0	0.767731542356	0	0.305766799231	0	0.105509578005	0	0.300498181653	0	0.552848328506	0	0.0920880510669	1	0.996162036452	1	0.543189875343	0.745119432831
C1D9	C1	D9	0	0.0170905079076	0	0.367071535506	0	0.767731542356	0	0.305766799231	1	0.105509578005	0	0.300498181653	0	0.552848328506	0	0.0920880510669	0	0.996162036452	1	0.543189875343	0.743456055343
C2D0	C2	D0	1	0.131629212608	0	0.541845048897	0	0.586533409732	0	0.912157540934	0	0.897096590948	0	0.641190210125	0	0.791281261797	0	0.435461539812	0	0.524673879741	0	0.301942831827	0.772957807005
C2D1	C2	D1	0	0.131629212608	1	0.541845048897	0	0.586533409732	0	0.912157540934	0	0.897096590948	0	0.641190210125	0	0.791281261797	0	0.435461539812	0	0.524673879741	0	0.301942831827	0.197212695984
C2D2	C2	D2	0	0.131629212608	0	0.541845048897	1	0.586533409732	0	0.912157540934	0	0.897096590948	0	0.641190210125	0	0.791281261797	0	0.435461539812	0	0.524673879741	0	0.301942831827	0.0892516288769
C2D3	C2	D3	1	0.131629212608	1	0.541845048897	1	0.586533409732	1	0.912157540934	1	0.897096590948	1	0.641190210125	1	0.791281261797	1	0.435461539812	1	0.524673879741	1	0.301942831827	0.891053442836
C2D4	C2	D4	0	0.131629212608	0	0.541845048897	0	0.586533409732	1	0.912157540934	1	0.897096590948	0	0.641190210125	1	0.791281261797	0	0.435461539812	0	0.524673879741	1	0.301942831827	0.0123374996046
C2D5	C2	D5	0	0.131629212608	0	0.541845048897	0	0.586533409732	0	0.912157540934	0	0.897096590948	1	0.641190210125	0	0.791281261797	0	0.435461539812	0	0.524673879741	0	0.301942831827	0.642096976917
C2D6	C2	D6	0	0.131629212608	0	0.541845048897	0	0.586533409732	0	0.912157540934	0	0.897096590948	0	0.641190210125	1	0.791281261797	0	0.435461539812	0	0.524673879741	0	0.301942831827	0.595104552586
C2D7	C2	D7	1	0.131629212608	0	0.541845048897	1	0.586533409732	1	0.912157540934	0	0.897096590948	0	0.641190210125	1	0.791281261797	1	0.435461539812	0	0.524673879741	0	0.301942831827	0.895682322676
C2D8	C2	D8	0	0.131629212608	0	0.541845048897	0	0.586533409732	0	0.912157540934	0	0.897096590948	0	0.641190210125	0	0.791281261797	0	0.435461539812	1	0.524673879741	1	0.301942831827	0.548772880915
C2D9	C2	D9	0	0.131629212608	0	0.541845048897	0	0.586533409732	0	0.912157540934	1	0.897096590948	0	0.641190210125	0	0.791281261797	0	0.435461539812	0	0.524673879741	1	0.301942831827	0.955850130215
C3D0	C3	D0	1	0.111846809938	0	0.372922895553	0	0.169899805514	0	0.287832012816	0	0.828371352436	0	0.833576911012	0	0.699427143812	0	0.0514971528694	0	0.130590662262	0	0.675167289094	0.820567657396
C3D1	C3	D1	0	0.111846809938	1	0.372922895553	0	0.169899805514	0	0.287832012816	0	0.828371352436	0	0.833576911012	0	0.699427143812	0	0.0514971528694	0	0.130590662262	0	0.675167289094	0.25772336369
C3D2	C3	D2	0	0.111846809938	0	0.372922895553	1	0.169899805514	0	0.287832012816	0	0.828371352436	0	0.833576911012	0	0.699427143812	0	0.0514971528694	0	0.130590662262	0	0.675167289094	0.587813862878
C3D3	C3	D3	1	0.111846809938	1	0.372922895553	1	0.169899805514	1	0.287832012816	1	0.828371352436	1	0.833576911012	1	0.699427143812	1	0.0514971528694	1	0.130590662262	1	0.675167289094	0.0921755603515
C3D4	C3	D4	0	0.111846809938	0	0.372922895553	0	0.169899805514	1	0.287832012816	1	0.828371352436	0	0.833576911012	1	0.699427143812	0	0.0514971528694	0	0.130590662262	1	0.675167289094	0.263474600626
C3D5	C3	D5	0	0.111846809938	0	0.372922895553	0	0.169899805514	0	0.287832012816	0	0.828371352436	1	0.833576911012	0	0.699427143812	0	0.0514971528694	0	0.130590662262	0	0.675167289094	0.543894714603
C3D6	C3	D6	0	0.111846809938	0	0.372922895553	0	0.169899805514	0	0.287832012816	0	0.828371352436	0	0.833576911012	1	0.699427143812	0	0.0514971528694	0	0.130590662262	0	0.675167289094	0.51222890707
C3D7	C3	D7	1	0.111846809938	0	0.372922895553	1	0.169899805514	1	0.287832012816	0	0.828371352436	0	0.833576911012	1	0.699427143812	1	0.0514971528694	0	0.130590662262	0	0.675167289094	0.0972101795381
C3D8	C3	D8	0	0.111846809938	0	0.372922895553	0	0.169899805514	0	0.287832012816	0	0.828371352436	0	0.833576911012	0	0.699427143812	0	0.0514971528694	1	0.130590662262	1	0.675167289094	0.129896523645
C3D9	C3	D9	0	0.111846809938	0	0.372922895553	0	0.169899805514	0	0.287832012816	1	0.828371352436	0	0.833576911012	0	0.699427143812	0	0.0514971528694	0	0.130590662262	1	0.675167289094	0.691117389042
C4D0	C4	D0	1	0.952316583166	0	0.66245358505	0	0.0834619885358	0	0.168123817842	0	0.281124995314	0	0.641008333596	0	0.11117660533	0	0.975825386217	0	0.882701134784	0	0.926564355205	0.193513441433
C4D1	C4	D1	0	0.952316583166	1	0.66245358505	0	0.0834619885358	0	0.168123817842	0	0.281124995314	0	0.641008333596	0	0.11117660533	0	0.975825386217	0	0.882701134784	0	0.926564355205	0.947757965808
C4D2	C4	D2	0	0.952316583166	0	0.66245358505	1	0.0834619885358	0	0.168123817842	0	0.281124995314	0	0.641008333596	0	0.11117660533	0	0.975825386217	0	0.882701134784	0	0.926564355205	0.0179751816154
C4D3	C4	D3	1	0.952316583166	1	0.66245358505	1	0.0834619885358	1	0.168123817842	1	0.281124995314	1	0.641008333596	1	0.11117660533	1	0.975825386217	1	0.882701134784	1	0.926564355205	0.570226735086
C4D4	C4	D4	0	0.952316583166	0	0.66245358505	0	0.0834619885358	1	0.168123817842	1	0.281124995314	0	0.641008333596	1	0.11117660533	0	0.975825386217	0	0.882701134784	1	0.926564355205	0.58136693384
C4D5	C4	D5	0	0.952316583166	0	0.66245358505	0	0.0834619885358	0	0.168123817842	0	0.281124995314	1	0.641008333596	0	0.11117660533	0	0.975825386217	0	0.882701134784	0	0.926564355205	0.801819887207
C4D6	C4	D6	0	0.952316583166	0	0.66245358505	0	0.0834619885358	0	0.168123817842	0	0.281124995314	0	0.641008333596	1	0.11117660533	0	0.975825386217	0	0.882701134784	0	0.926564355205	0.521238182543
C4D7	C4	D7	1	0.952316583166	0	0.66245358505	1	0.0834619885358	1	0.168123817842	0	0.281124995314	0	0.641008333596	1	0.11117660533	1	0.975825386217	0	0.882701134784	0	0.926564355205	0.868622050393
C4D8	C4	D8	0	0.952316583166	0	0.66245358505	0	0.0834619885358	0	0.168123817842	0	0.281124995314	0	0.641008333596	0	0.11117660533	0	0.975825386217	1	0.882701134784	1	0.926564355205	0.704551425082
C4D9	C4	D9	0	0.952316583166	0	0.66245358505	0	0.0834619885358	0	0.168123817842	1	0.281124995314	0	0.641008333596	0	0.11117660533	0	0.975825386217	0	0.882701134784	1	0.926564355205	0.707504815133
C5D0	C5	D0	1	0.384447431289	0	0.115881101297	0	0.846209390512	0	0.723478139976	0	0.575122527827	0	0.570763036569	0	0.299715005607	0	0.0616562648289	0	0.713366349278	0	0.344874580219	0.389367091196
