cell-drug-pair	cell	drug	G0_targeted	G0_activity	G1_targeted	G1_activity	G2_targeted	G2_activity	G3_targeted	G3_activity	G4_targeted	G4_activity	G5_targeted	G5_activity	G6_targeted	G6_activity	G7_targeted	G7_activity	G8_targeted	G8_activity	G9_targeted	G9_activity	sensitivity
C0D0	C0	D0	1	0.64510578282	0	0.209931313638	0	0.245443176141	0	0.835013007048	0	0.0598576582582	0	0.996038588695	0	0.551553254371	0	0.107924028083	0	0.128708883388	0	0.697056741477	0.351624274389
C0D1	C0	D1	0	0.64510578282	1	0.209931313638	0	0.245443176141	0	0.835013007048	0	0.0598576582582	0	0.996038588695	0	0.551553254371	0	0.107924028083	0	0.128708883388	0	0.697056741477	0.791672260812
C0D2	C0	D2	0	0.64510578282	0	0.209931313638	1	0.245443176141	0	0.835013007048	0	0.0598576582582	0	0.996038588695	0	0.551553254371	0	0.107924028083	0	0.128708883388	0	0.697056741477	0.226787111733
C0D3	C0	D3	0	0.64510578282	0	0.209931313638	0	0.245443176141	1	0.835013007048	0	0.0598576582582	0	0.996038588695	0	0.551553254371	0	0.107924028083	0	0.128708883388	0	0.697056741477	0.213275195718
C0D4	C0	D4	0	0.64510578282	0	0.209931313638	0	0.245443176141	0	0.835013007048	1	0.0598576582582	0	0.996038588695	0	0.551553254371	0	0.107924028083	0	0.128708883388	0	0.697056741477	0.910716539273
C0D5	C0	D5	0	0.64510578282	0	0.209931313638	0	0.245443176141	0	0.835013007048	0	0.0598576582582	1	0.996038588695	0	0.551553254371	0	0.107924028083	0	0.128708883388	0	0.697056741477	0.278533624455
C0D6	C0	D6	0	0.64510578282	0	0.209931313638	0	0.245443176141	0	0.835013007048	0	0.0598576582582	0	0.996038588695	1	0.551553254371	0	0.107924028083	0	0.128708883388	0	0.697056741477	0.629662976495
C0D7	C0	D7	0	0.64510578282	0	0.209931313638	0	0.245443176141	0	0.835013007048	0	0.0598576582582	0	0.996038588695	0	0.551553254371	1	0.107924028083	0	0.128708883388	0	0.697056741477	0.100769815738
C0D8	C0	D8	0	0.64510578282	0	0.209931313638	0	0.245443176141	0	0.835013007048	0	0.0598576582582	0	0.996038588695	0	0.551553254371	0	0.107924028083	1	0.128708883388	0	0.697056741477	0.298366095493
C0D9	C0	D9	0	0.64510578282	0	0.209931313638	0	0.245443176141	0	0.835013007048	0	0.0598576582582	0	0.996038588695	0	0.551553254371	0	0.107924028083	0	0.128708883388	1	0.697056741477	0.52988834797
C1D0	C1	D0	1	0.360135661831	0	0.349940834616	0	0.2375290814	0	0.0480253995476	0	0.657711150398	0	0.186093738471	0	0.957576342961	0	0.507740814712	0	0.899790847898	0	0.198816845007	0.739565775237
C1D1	C1	D1	0	0.360135661831	1	0.349940834616	0	0.2375290814	0	0.0480253995476	0	0.657711150398	0	0.186093738471	0	0.957576342961	0	0.507740814712	0	0.899790847898	0	0.198816845007	0.824394154789
C1D2	C1	D2	0	0.360135661831	0	0.349940834616	1	0.2375290814	0	0.0480253995476	0	0.657711150398	0	0.186093738471	0	0.957576342961	0	0.507740814712	0	0.899790847898	0	0.198816845007	0.517298874656
C1D3	C1	D3	0	0.360135661831	0	0.349940834616	0	0.2375290814	1	0.0480253995476	0	0.657711150398	0	0.186093738471	0	0.957576342961	0	0.507740814712	0	0.899790847898	0	0.198816845007	0.679588214288
C1D4	C1	D4	0	0.360135661831	0	0.349940834616	0	0.2375290814	0	0.0480253995476	1	0.657711150398	0	0.186093738471	0	0.957576342961	0	0.507740814712	0	0.899790847898	0	0.198816845007	0.192702200797
C1D5	C1	D5	0	0.360135661831	0	0.349940834616	0	0.2375290814	0	0.0480253995476	0	0.657711150398	1	0.186093738471	0	0.957576342961	0	0.507740814712	0	0.899790847898	0	0.198816845007	0.941019257476
C1D6	C1	D6	0	0.360135661831	0	0.349940834616	0	0.2375290814	0	0.0480253995476	0	0.657711150398	0	0.186093738471	1	0.957576342961	0	0.507740814712	0	0.899790847898	0	0.198816845007	0.811231363398
C1D7	C1	D7	0	0.360135661831	0	0.349940834616	0	0.2375290814	0	0.0480253995476	0	0.657711150398	0	0.186093738471	0	0.957576342961	1	0.507740814712	0	0.899790847898	0	0.198816845007	0.590200321036
C1D8	C1	D8	0	0.360135661831	0	0.349940834616	0	0.2375290814	0	0.0480253995476	0	0.657711150398	0	0.186093738471	0	0.957576342961	0	0.507740814712	1	0.899790847898	0	0.198816845007	0.90315063437
C1D9	C1	D9	0	0.360135661831	0	0.349940834616	0	0.2375290814	0	0.0480253995476	0	0.657711150398	0	0.186093738471	0	0.957576342961	0	0.507740814712	0	0.899790847898	1	0.198816845007	0.653515254687
C2D0	C2	D0	1	0.24335031531	0	0.858763121164	0	0.363345936371	0	0.0491840640581	0	0.757335388743	0	0.230725411823	0	0.948549368568	0	0.680561296684	0	0.175177535032	0	0.531389312584	0.165146104314
C2D1	C2	D1	0	0.24335031531	1	0.858763121164	0	0.363345936371	0	0.0491840640581	0	0.757335388743	0	0.230725411823	0	0.948549368568	0	0.680561296684	0	0.175177535032	0	0.531389312584	0.549461491184
C2D2	C2	D2	0	0.24335031531	0	0.858763121164	1	0.363345936371	0	0.0491840640581	0	0.757335388743	0	0.230725411823	0	0.948549368568	0	0.680561296684	0	0.175177535032	0	0.531389312584	0.80242695717
C2D3	C2	D3	0	0.24335031531	0	0.858763121164	0	0.363345936371	1	0.0491840640581	0	0.757335388743	0	0.230725411823	0	0.948549368568	0	0.680561296684	0	0.175177535032	0	0.531389312584	0.150430311803
C2D4	C2	D4	0	0.24335031531	0	0.858763121164	0	0.363345936371	0	0.0491840640581	1	0.757335388743	0	0.230725411823	0	0.948549368568	0	0.680561296684	0	0.175177535032	0	0.531389312584	0.804742838473
C2D5	C2	D5	0	0.24335031531	0	0.858763121164	0	0.363345936371	0	0.0491840640581	0	0.757335388743	1	0.230725411823	0	0.948549368568	0	0.680561296684	0	0.175177535032	0	0.531389312584	0.762626878449
