C0	PC3_PROSTATE
C1	HS172T_URINARY_TRACT
C2	VMCUB1_URINARY_TRACT
C3	EBC1_LUNG
C4	SNU503_LARGE_INTESTINE
C5	KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C6	COLO741_SKIN
C7	DLD1_LARGE_INTESTINE
C8	SNU1196_BILIARY_TRACT
C9	EFO27_OVARY
C10	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C11	COV644_OVARY
C12	NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C13	HEKTE_KIDNEY
C14	HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C15	MHHES1_BONE
C16	HOS_BONE
C17	SKNFI_AUTONOMIC_GANGLIA
C18	WM2664_SKIN
C19	NCIH716_LARGE_INTESTINE
C20	EVSAT_BREAST
C21	JHOM1_OVARY
C22	SCC25_UPPER_AERODIGESTIVE_TRACT
C23	KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C24	U178_CENTRAL_NERVOUS_SYSTEM
C25	HS936T_SKIN
C26	1321N1_CENTRAL_NERVOUS_SYSTEM
C27	YD8_UPPER_AERODIGESTIVE_TRACT
C28	NCIH196_LUNG
C29	SNU738_CENTRAL_NERVOUS_SYSTEM
C30	SUDHL5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C31	KS1_CENTRAL_NERVOUS_SYSTEM
C32	NCIH522_LUNG
C33	TE14_OESOPHAGUS
C34	CAL27_UPPER_AERODIGESTIVE_TRACT
C35	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM
C36	HT1080_SOFT_TISSUE
C37	M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C38	WM1799_SKIN
C39	LN464_CENTRAL_NERVOUS_SYSTEM
C40	OVTOKO_OVARY
C41	LS411N_LARGE_INTESTINE
C42	TE8_OESOPHAGUS
C43	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C44	SNU1214_UPPER_AERODIGESTIVE_TRACT
C45	LCLC103H_LUNG
C46	FU97_STOMACH
C47	NCIH1395_LUNG
C48	PSN1_PANCREAS
C49	TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C50	KMS28BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C51	AZ521_STOMACH
C52	JHH2_LIVER
C53	NCIH1048_LUNG
C54	JHOS4_OVARY
C55	NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C56	NCIH2087_LUNG
C57	WM88_SKIN
C58	ACHN_KIDNEY
C59	CGTHW1_THYROID
C60	UMRC6_KIDNEY
C61	CORL279_LUNG
C62	PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C63	DMS454_LUNG
C64	PECAPJ15_UPPER_AERODIGESTIVE_TRACT
C65	DMS79_LUNG
C66	SQ1_LUNG
C67	PECAPJ41CLONED2_UPPER_AERODIGESTIVE_TRACT
C68	SNU8_OVARY
C69	GAMG_CENTRAL_NERVOUS_SYSTEM
C70	LN235_CENTRAL_NERVOUS_SYSTEM
C71	CALU3_LUNG
C72	CAL33_UPPER_AERODIGESTIVE_TRACT
C73	HEC1A_ENDOMETRIUM
C74	NUGC3_STOMACH
C75	GSS_STOMACH
C76	SF126_CENTRAL_NERVOUS_SYSTEM
C77	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C78	GB1_CENTRAL_NERVOUS_SYSTEM
C79	DM3_PLEURA
C80	NCCSTCK140_STOMACH
C81	SNU182_LIVER
C82	LMSU_STOMACH
C83	HCC1428_BREAST
C84	LOUNH91_LUNG
C85	HT29_LARGE_INTESTINE
C86	LN340_CENTRAL_NERVOUS_SYSTEM
C87	SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C88	SALE_LUNG
C89	NCIH660_PROSTATE
C90	HT55_LARGE_INTESTINE
C91	SKNSH_AUTONOMIC_GANGLIA
C92	RH41_SOFT_TISSUE
C93	TE617T_SOFT_TISSUE
C94	SKMEL30_SKIN
C95	MOLT16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C96	KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C97	KNS42_CENTRAL_NERVOUS_SYSTEM
C98	BXPC3_PANCREAS
C99	MDAMB231_BREAST
C100	HEYA8_OVARY
C101	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C102	NCIH146_LUNG
C103	HCC1195_LUNG
C104	HS751T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C105	MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C106	SNU869_BILIARY_TRACT
C107	CORL47_LUNG
C108	DU145_PROSTATE
C109	SKMEL2_SKIN
C110	SNUC4_LARGE_INTESTINE
C111	KYSE70_OESOPHAGUS
C112	NCIH1563_LUNG
C113	SF8657
C114	SKRC31_KIDNEY
C115	SNU520_STOMACH
C116	BICR31_UPPER_AERODIGESTIVE_TRACT
C117	KYM1_SOFT_TISSUE
C118	NCIH1793_LUNG
C119	ISTMES2_PLEURA
C120	OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C121	SLR24_KIDNEY
C122	YD38_UPPER_AERODIGESTIVE_TRACT
C123	NCIH1838_LUNG
C124	CAL12T_LUNG
C125	HS729_SOFT_TISSUE
C126	MORCPR_LUNG
C127	HEC265_ENDOMETRIUM
C128	AU565_BREAST
C129	SNU308_BILIARY_TRACT
C130	HCC1143_BREAST
C131	TGBC11TKB_STOMACH
C132	ACCMESO1_PLEURA
C133	RERFLCSQ1_LUNG
C134	MUTZ5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C135	G401_SOFT_TISSUE
C136	TE4_OESOPHAGUS
C137	SNU119_OVARY
C138	NCIH508_LARGE_INTESTINE
C139	LOVO_LARGE_INTESTINE
C140	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C141	HS274T_BREAST
C142	AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C143	KPNRTBM1_AUTONOMIC_GANGLIA
C144	DV90_LUNG
C145	SH10TC_STOMACH
C146	U138MG_CENTRAL_NERVOUS_SYSTEM
C147	OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C148	TE125T_SOFT_TISSUE
C149	GMS10_CENTRAL_NERVOUS_SYSTEM
C150	TUHR14TKB_KIDNEY
C151	KYO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C152	SNU878_LIVER
C153	BGC823_STOMACH
C154	SKUT1_SOFT_TISSUE
C155	SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C156	VMRCRCZ_KIDNEY
C157	ZR751_BREAST
C158	TE9_OESOPHAGUS
C159	HS840T_UPPER_AERODIGESTIVE_TRACT
C160	SNU5_STOMACH
C161	DOV13_OVARY
C162	NCIH2452_PLEURA
C163	SNU886_LIVER
C164	NCIH520_LUNG
C165	NCIH2126_LUNG
C166	CHP212_AUTONOMIC_GANGLIA
