D0	G2
D1	G136
D1	G59
D1	G83
D1	G95
D1	G109
D1	G108
D1	G39
D1	G5
D1	G32
D1	G3
D1	G67
D1	G134
D2	G145
D2	G103
D2	G85
D3	G114
D4	G145
D4	G25
D4	G127
D4	G126
D4	G140
D4	G132
D4	G131
D4	G130
D4	G129
D4	G44
D5	G145
D6	G28
D6	G30
D6	G29
D6	G115
D6	G116
D6	G128
D7	G31
D8	G136
D8	G55
D8	G149
D8	G141
D8	G150
D8	G59
D8	G151
D8	G122
D8	G61
D8	G90
D8	G109
D8	G108
D8	G119
D8	G5
D8	G21
D8	G19
D8	G133
D8	G142
D8	G135
D8	G138
D8	G125
D8	G121
D8	G146
D8	G105
D8	G33
D8	G137
D8	G113
D8	G26
D8	G10
D8	G45
D8	G60
D8	G62
D8	G54
D8	G53
D9	G15
D10	G111
D11	G96
D11	G75
D11	G12
D11	G22
D11	G23
D11	G20
D11	G88
D11	G84
D11	G103
D11	G32
D11	G7
D11	G3
D11	G67
D11	G76
D12	G83
D12	G43
D12	G104
D13	G136
D13	G144
D13	G109
D13	G5
D13	G21
D13	G123
D13	G13
D13	G0
D14	G111
D14	G114
D14	G41
D15	G136
D15	G59
D15	G5
D15	G63
D15	G106
D16	G136
D16	G149
D16	G150
D16	G148
D16	G58
D16	G59
D16	G112
D16	G65
D16	G37
D16	G1
D16	G87
D16	G139
D16	G95
D16	G5
D16	G21
D16	G19
D16	G6
D16	G42
D16	G57
D16	G107
D16	G47
D16	G18
D16	G24
D16	G64
D16	G78
D16	G113
D16	G8
D16	G63
D16	G106
D16	G143
D16	G134
D16	G120
D16	G56
D16	G38
D17	G117
D17	G118
D17	G9
D18	G136
D18	G150
D18	G147
D18	G59
D18	G4
D18	G145
D18	G110
D18	G95
D18	G144
D18	G109
D18	G108
D18	G39
D18	G5
D18	G21
D18	G19
D18	G12
D18	G88
D18	G86
D18	G84
D18	G103
D18	G32
D18	G127
D18	G97
D18	G79
D18	G80
D18	G81
D18	G82
D18	G77
D18	G91
D18	G100
D18	G98
D18	G99
D18	G101
D18	G102
D18	G3
D18	G67
D18	G85
D18	G76
D18	G134
D18	G120
D18	G92
D19	G94
D19	G93
D20	G145
D20	G25
D20	G127
D20	G126
D20	G140
D20	G132
D20	G131
D20	G130
D20	G129
D20	G44
D21	G149
D21	G59
D21	G112
D21	G5
D21	G123
D21	G88
D21	G84
D21	G16
D21	G14
D21	G103
D21	G25
D21	G27
D21	G40
D21	G76
D21	G89
D21	G56
D22	G66
D22	G35
D22	G34
D22	G69
D22	G68
D22	G71
D22	G70
D22	G73
D22	G72
D22	G124
D22	G11
D22	G74
D22	G48
D22	G36
D22	G46
D22	G52
D22	G51
D22	G50
D22	G49
D23	G136
D23	G59
D23	G112
D23	G17
D23	G110
D23	G90
D23	G109
D23	G39
D23	G5
D23	G21
D23	G123
D23	G25
D23	G114
D23	G33
D23	G27
D23	G40
D23	G134
