C0	1321N1_CENTRAL_NERVOUS_SYSTEM
C1	22RV1_PROSTATE
C2	42MGBA_CENTRAL_NERVOUS_SYSTEM
C3	5637_URINARY_TRACT
C4	639V_URINARY_TRACT
C5	697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C6	769P_KIDNEY
C7	786O_KIDNEY
C8	8305C_THYROID
C9	8505C_THYROID
C10	8MGBA_CENTRAL_NERVOUS_SYSTEM
C11	A172_CENTRAL_NERVOUS_SYSTEM
C12	A204_SOFT_TISSUE
C13	A2058_SKIN
C14	A253_SALIVARY_GLAND
C15	A2780_OVARY
C16	A375_SKIN
C17	A549_LUNG
C18	A673_BONE
C19	ACHN_KIDNEY
C20	ALLSIL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C21	AMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C22	AN3CA_ENDOMETRIUM
C23	ASPC1_PANCREAS
C24	AU565_BREAST
C25	AZ521_STOMACH
C26	BCPAP_THYROID
C27	BDCM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C28	BFTC909_KIDNEY
C29	BGC823_STOMACH
C30	BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C31	BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C32	BT20_BREAST
C33	BT474_BREAST
C34	BT549_BREAST
C35	BXPC3_PANCREAS
C36	C2BBE1_LARGE_INTESTINE
C37	C32_SKIN
C38	C3A_LIVER
C39	CAKI2_KIDNEY
C40	CAL12T_LUNG
C41	CAL27_UPPER_AERODIGESTIVE_TRACT
C42	CAL78_BONE
C43	CAL851_BREAST
C44	CALU1_LUNG
C45	CALU3_LUNG
C46	CALU6_LUNG
C47	CAMA1_BREAST
C48	CAPAN2_PANCREAS
C49	CAS1_CENTRAL_NERVOUS_SYSTEM
C50	CCK81_LARGE_INTESTINE
C51	CHL1_SKIN
C52	CHP212_AUTONOMIC_GANGLIA
C53	CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C54	CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C55	COLO201_LARGE_INTESTINE
C56	COLO205_LARGE_INTESTINE
C57	COLO320_LARGE_INTESTINE
C58	COLO677_LUNG
C59	COLO678_LARGE_INTESTINE
C60	COLO679_SKIN
C61	COLO699_LUNG
C62	COLO741_SKIN
C63	CORL105_LUNG
C64	CORL23_LUNG
C65	COV318_OVARY
C66	COV504_OVARY
C67	DAOY_CENTRAL_NERVOUS_SYSTEM
C68	DBTRG05MG_CENTRAL_NERVOUS_SYSTEM
C69	DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C70	DETROIT562_UPPER_AERODIGESTIVE_TRACT
C71	DKMG_CENTRAL_NERVOUS_SYSTEM
C72	DMS114_LUNG
C73	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C74	DOV13_OVARY
C75	DU145_PROSTATE
C76	DV90_LUNG
C77	EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C78	EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C79	EBC1_LUNG
C80	EFE184_ENDOMETRIUM
C81	EFM19_BREAST
C82	EFO21_OVARY
C83	EFO27_OVARY
C84	EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C85	EN_ENDOMETRIUM
C86	ES2_OVARY
C87	ESS1_ENDOMETRIUM
C88	F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C89	FADU_UPPER_AERODIGESTIVE_TRACT
C90	FU97_STOMACH
C91	FUOV1_OVARY
C92	G361_SKIN
C93	G401_SOFT_TISSUE
C94	G402_SOFT_TISSUE
C95	GAMG_CENTRAL_NERVOUS_SYSTEM
C96	GB1_CENTRAL_NERVOUS_SYSTEM
C97	GCIY_STOMACH
C98	GCT_SOFT_TISSUE
C99	GI1_CENTRAL_NERVOUS_SYSTEM
C100	GLC82_LUNG
C101	GMS10_CENTRAL_NERVOUS_SYSTEM
C102	GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C103	H4_CENTRAL_NERVOUS_SYSTEM
C104	HARA_LUNG
C105	HCC1187_BREAST
C106	HCC1395_BREAST
C107	HCC15_LUNG
C108	HCC1569_BREAST
C109	HCC1806_BREAST
C110	HCC1954_BREAST
C111	HCC2935_LUNG
C112	HCC4006_LUNG
C113	HCC44_LUNG
C114	HCC56_LARGE_INTESTINE
C115	HCC70_BREAST
C116	HCC78_LUNG
C117	HCC827_LUNG
C118	HCT116_LARGE_INTESTINE
C119	HCT15_LARGE_INTESTINE
C120	HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C121	HDQP1_BREAST
C122	HEC151_ENDOMETRIUM
C123	HEC1A_ENDOMETRIUM
C124	HEC1B_ENDOMETRIUM
C125	HEC251_ENDOMETRIUM
C126	HEC265_ENDOMETRIUM
C127	HEC59_ENDOMETRIUM
C128	HEC6_ENDOMETRIUM
C129	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C130	HEP3B217_LIVER
C131	HEPG2_LIVER
C132	HEYA8_OVARY
C133	HGC27_STOMACH
C134	HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C135	HLE_LIVER
C136	HLF_LIVER
C137	HMC18_BREAST
C138	HMCB_SKIN
C139	HOS_BONE
C140	HPAC_PANCREAS
C141	HPAFII_PANCREAS
C142	HS229T_LUNG
C143	HS294T_SKIN
C144	HS578T_BREAST
C145	HS683_CENTRAL_NERVOUS_SYSTEM
C146	HS695T_SKIN
C147	HS729_SOFT_TISSUE
C148	HS739T_BREAST
C149	HS746T_STOMACH
C150	HS766T_PANCREAS
C151	HS840T_UPPER_AERODIGESTIVE_TRACT
C152	HS852T_SKIN
C153	HS895T_SKIN
C154	HS936T_SKIN
C155	HS939T_SKIN
C156	HS944T_SKIN
C157	HSC2_UPPER_AERODIGESTIVE_TRACT
C158	HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
C159	HT1080_SOFT_TISSUE
C160	HT1197_URINARY_TRACT
C161	HT1376_URINARY_TRACT
C162	HT144_SKIN
C163	HT29_LARGE_INTESTINE
